homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
60,41,67,57,70,47,31,68,58,61,53,59,66,37,38,72,84,33,69,55,66,58,56,51,59,57,54,64,81,57,53,51,80,56,44,58,69,56,69,80,68,70,42,52,64,50,73,68,01apr2011,2.1824701,13516.405,69.800003,.059999999,98.224854,1363.61
60,43,61,57,64,45,27,63,55,64,49,56,67,34,37,69,80,33,63,53,63,59,54,49,60,41,50,61,78,56,51,51,75,47,45,57,65,56,69,79,66,69,40,49,60,47,69,67,01may2011,1.9452,13505.003,74.300003,.039999999,98.209442,1345.2
62,46,61,59,67,45,27,64,52,67,51,60,67,36,37,68,84,33,66,53,63,58,55,54,58,42,50,59,82,56,55,51,71,45,42,60,66,55,68,80,65,66,42,52,60,46,74,71,01jun2011,1.93832,13572.943,71.5,.039999999,97.907707,1320.64
59,49,61,61,69,49,24,62,54,64,50,62,69,38,37,70,87,35,68,53,66,56,53,56,60,42,51,61,84,56,56,54,71,52,45,62,71,55,77,80,63,67,41,50,61,44,71,76,01jul2011,1.89518,13620.414,63.700001,.039999999,97.341187,1292.28
66,44,64,58,72,50,26,65,59,62,49,64,69,41,38,72,88,41,63,53,87,59,51,57,58,43,52,64,83,59,65,52,70,59,51,60,70,58,73,79,61,64,40,54,61,44,75,72,01aug2011,1.57066,13605.561,55.799999,.02,96.857643,1218.89
58,39,60,55,65,50,29,63,59,60,48,60,68,38,35,72,84,32,59,49,78,55,48,51,54,39,49,67,82,54,61,51,70,66,50,51,67,56,67,76,62,61,34,50,60,49,69,67,01sep2011,1.66517,13582.785,59.5,.0099999998,96.791656,1131.42
55,37,59,54,61,47,29,66,62,59,49,57,69,34,38,72,94,28,55,54,67,56,48,49,53,41,50,75,84,54,60,50,71,70,48,49,69,54,73,74,60,59,33,55,60,48,70,68,01oct2011,1.55108,13599.436,60.799999,.02,97.019157,1253.3
53,32,58,54,61,52,25,62,70,68,62,54,72,36,37,70,84,31,55,48,68,59,52,46,56,40,50,73,79,50,58,60,75,66,47,45,77,52,75,75,63,59,31,53,61,45,70,65,01nov2011,1.10225,13591.318,63.700001,.0099999998,97.452927,1246.96
52,33,54,52,67,51,24,60,81,66,71,58,77,36,39,72,88,42,61,49,56,67,54,48,57,44,51,84,83,52,59,63,76,65,50,46,84,51,76,81,80,61,31,49,61,42,66,74,01dec2011,1.02745,13714.357,69.900002,.0099999998,97.989487,1257.6
55,38,58,55,69,54,26,66,60,62,58,55,75,49,37,76,79,36,54,53,58,58,47,50,57,50,52,67,79,54,65,55,69,56,61,57,74,54,72,88,60,65,35,55,64,46,72,72,01jan2012,1.41881,13776.131,75,.029999999,98.44693,1312.41
55,40,58,55,74,53,31,68,66,59,56,57,73,72,35,73,76,28,55,57,57,62,46,53,56,51,53,67,79,57,69,52,76,54,54,56,74,54,72,86,62,59,36,53,65,50,73,73,01feb2012,1.9855,13861.174,75.300003,.090000004,98.70195,1365.6801
53,39,59,57,71,49,25,65,63,55,50,56,70,37,34,67,73,28,60,54,58,59,46,49,56,49,53,66,77,55,65,49,80,59,47,57,69,52,68,85,64,61,37,50,61,46,71,71,01mar2012,1.4177099,13911.509,76.199997,.079999998,98.824837,1408.47
53,40,60,57,76,47,27,67,64,58,52,59,71,36,33,69,72,27,71,50,57,64,46,48,60,49,52,68,76,55,65,48,83,53,47,58,72,52,69,85,76,67,39,49,61,48,73,71,01apr2012,1.60721,13963.525,76.400002,.079999998,98.859283,1397.91
57,40,58,60,74,46,37,66,59,60,50,56,74,34,32,66,71,29,63,50,57,61,44,50,60,39,52,65,75,54,64,50,81,47,47,57,71,51,69,85,74,66,39,48,60,45,73,69,01may2012,1.6990499,13975.696,79.300003,.090000004,98.803963,1310.33
82,42,57,65,76,46,26,63,60,61,53,57,71,35,33,65,72,28,67,52,65,67,49,52,61,39,51,64,76,55,65,49,77,48,46,59,71,50,72,87,70,61,40,49,58,45,70,74,01jun2012,1.29348,13995.038,73.199997,.090000004,98.601387,1362.16
60,44,62,62,76,48,26,65,61,62,50,58,74,38,32,69,77,28,62,52,80,65,48,52,59,40,52,66,79,58,67,52,78,52,48,61,76,52,78,87,69,65,39,51,61,42,70,76,01jul2012,1.3406301,13909.126,72.300003,.1,98.530006,1379.3199
60,41,58,59,83,50,31,66,66,61,50,59,71,35,34,68,79,34,60,51,64,63,46,54,58,41,51,69,79,58,65,52,79,58,51,57,72,51,70,86,69,60,37,53,61,44,74,75,01aug2012,1.27836,13867.317,74.300003,.1,98.698318,1406.58
54,36,56,56,76,48,31,68,65,61,47,58,74,39,34,71,97,29,60,52,59,61,44,49,55,40,50,71,85,54,65,51,79,63,51,52,71,53,69,81,67,63,34,51,61,50,71,69,01sep2012,1.28771,13943.929,78.300003,.11,99.011719,1440.67
52,33,61,55,67,46,33,66,64,54,47,54,75,32,32,67,73,23,55,47,82,58,43,49,52,42,51,78,79,49,63,48,76,65,46,48,69,54,68,76,63,58,32,56,61,49,71,65,01oct2012,1.20612,14046.984,82.599998,.1,99.236473,1412.16
50,30,59,55,67,50,30,62,72,62,55,53,72,33,34,68,74,26,55,46,68,62,47,44,55,41,56,73,80,47,59,60,79,65,50,44,75,54,71,76,67,58,29,52,60,46,65,63,01nov2012,1.76129,14249.192,82.699997,.090000004,99.150871,1416.1801
50,30,51,54,71,48,24,60,83,63,67,60,78,35,34,65,78,34,55,46,54,69,49,43,55,42,46,82,82,48,60,60,79,63,50,45,80,54,76,83,82,58,29,45,59,42,64,69,01dec2012,1.7437,14614.152,72.900002,.07,98.819962,1426.1899
53,34,55,57,72,52,27,67,61,58,54,59,74,52,32,73,69,32,50,49,58,67,44,49,54,50,48,66,81,51,64,53,75,53,64,54,70,52,72,88,66,62,34,54,64,44,72,69,01jan2013,1.64035,13894.743,73.800003,.07,98.692741,1498.11
51,36,57,55,74,49,24,65,61,56,51,58,72,77,32,69,67,24,55,51,64,63,44,51,54,49,50,65,77,52,64,50,78,55,55,54,71,52,71,86,66,54,34,50,63,48,71,69,01feb2013,.99706,13835.102,77.599998,.1,98.794792,1514.6801
50,37,53,57,74,48,23,66,64,56,48,60,73,37,31,66,64,24,58,50,54,65,45,50,55,49,48,67,75,54,63,49,84,59,49,55,72,51,67,85,68,56,35,48,60,46,71,71,01mar2013,1.21667,13865.456,78.599998,.090000004,98.960091,1569.1899
51,36,60,59,74,46,25,68,62,55,48,61,72,34,30,67,61,22,67,48,55,65,40,50,59,48,61,66,74,53,63,49,86,50,47,55,67,54,65,84,73,64,35,49,59,49,71,66,01apr2013,.97600001,13930.178,76.400002,.059999999,99.170303,1597.5699
53,37,58,59,73,45,23,62,58,58,46,60,73,35,29,61,62,23,62,47,55,64,42,48,60,39,49,64,72,52,62,47,85,47,48,56,69,49,66,83,71,62,36,46,58,47,70,66,01may2013,1.24868,14009.753,84.5,.039999999,99.5056,1630.74
59,39,54,61,73,44,22,61,55,59,49,62,70,34,29,60,63,23,62,48,59,62,46,51,58,37,49,63,73,54,63,48,80,46,47,57,72,47,68,83,62,57,36,46,56,44,65,70,01jun2013,1.3962801,14021.223,84.099998,.050000001,99.678963,1606.28
55,41,55,64,76,48,31,62,56,62,46,63,71,38,29,62,63,24,65,50,60,63,46,54,60,39,51,62,75,56,62,50,78,51,49,61,73,51,70,85,64,62,36,48,58,44,70,70,01jul2013,1.2738301,13991.979,85.099998,.039999999,99.641586,1685.73
55,38,56,60,80,49,24,64,63,63,41,63,70,42,30,63,64,30,63,49,56,62,44,53,58,38,50,64,75,57,60,49,75,66,50,57,73,48,69,83,64,58,34,49,58,46,72,68,01aug2013,1.5023,14017.134,82.099998,.039999999,99.363228,1632.97
51,33,53,56,70,45,23,63,58,58,41,59,65,37,30,63,68,25,59,45,55,59,44,48,53,38,46,65,75,51,55,50,75,60,50,50,66,47,64,77,58,57,31,52,56,47,68,62,01sep2013,1.5816801,14069.86,77.5,.02,98.985497,1681.55
49,31,53,57,68,45,22,63,61,54,42,55,63,32,29,68,59,22,53,42,55,61,43,49,52,41,47,71,70,49,52,49,76,67,49,46,65,48,66,73,58,54,29,64,56,48,70,61,01oct2013,1.8338799,14039.392,73.199997,.050000001,98.751991,1756.54
46,28,51,57,68,49,21,60,70,63,49,57,67,35,31,60,59,22,53,42,53,61,45,44,54,39,44,70,71,47,50,58,79,63,52,44,75,43,64,74,60,55,27,55,55,44,64,61,01nov2013,1.87624,14091.431,75.099998,.07,98.851593,1805.8101
47,28,50,53,69,47,24,57,83,61,59,57,70,37,31,59,61,30,55,41,55,69,46,44,52,43,46,80,71,49,48,60,77,65,50,42,77,43,73,76,73,54,26,54,54,41,61,63,01dec2013,1.90163,14142.583,82.5,.07,99.152641,1848.36
48,31,54,54,69,47,24,61,59,55,46,56,67,63,29,68,54,27,49,43,57,61,40,48,53,48,47,62,65,49,50,52,69,49,56,51,69,43,69,77,53,58,29,58,55,42,67,61,01jan2014,1.27293,14227.901,81.199997,.039999999,99.324013,1782.59
50,32,53,54,71,48,24,63,62,54,48,56,67,39,29,63,54,22,49,47,66,61,38,51,50,46,47,63,67,51,52,48,72,51,49,50,68,42,65,80,55,53,29,54,54,46,67,63,01feb2014,1.74674,14327.934,81.599998,.050000001,99.393494,1859.45
48,34,53,55,71,46,23,62,60,52,47,54,68,55,29,62,52,22,55,45,56,63,39,49,52,47,47,61,65,53,50,47,81,54,43,53,67,44,67,81,60,53,31,57,54,44,66,64,01mar2014,2.19175,14410.122,80,.050000001,99.425484,1872.34
51,34,54,57,73,44,25,64,60,55,44,54,65,31,30,63,51,21,61,44,55,63,37,48,55,47,48,63,66,52,51,46,83,53,43,53,67,41,66,78,62,62,32,50,56,49,69,63,01apr2014,2.6249399,14435.669,84.099998,.029999999,99.497871,1883.95
49,33,53,57,71,42,23,58,52,55,41,50,65,31,27,55,50,22,55,41,53,60,35,45,58,35,47,57,61,49,47,45,79,44,42,52,63,42,60,74,60,60,33,45,52,43,66,61,01may2014,2.5842299,14469.48,81.900002,.029999999,99.484367,1923.5699
49,36,51,58,72,42,22,56,49,55,45,51,62,31,26,51,53,24,55,40,54,60,40,47,57,36,46,55,63,50,47,45,73,42,40,53,62,41,59,75,56,55,35,46,49,43,66,59,01jun2014,3.0577099,14526.881,82.5,.039999999,99.458183,1960.23
50,37,52,58,71,43,22,58,51,61,44,53,67,31,26,52,52,24,56,43,59,61,38,46,54,37,47,56,61,54,47,47,71,45,42,55,65,42,63,75,53,59,35,48,51,42,66,62,01jul2014,3.1400299,14582.163,81.800003,.029999999,99.450058,1930.67
50,34,51,55,71,46,20,59,56,61,43,50,63,39,28,51,55,27,57,43,55,58,36,47,53,37,46,58,64,51,47,48,68,49,44,51,65,41,68,74,54,53,33,47,51,42,63,62,01aug2014,3.73599,14659.681,82.5,.029999999,99.544167,2003.37
46,30,52,54,65,43,22,60,52,54,40,48,62,29,29,53,76,23,53,40,54,55,34,46,51,37,45,60,71,50,45,45,69,56,45,47,61,42,57,68,54,55,29,49,52,45,69,57,01sep2014,3.5134301,14705.696,84.599998,.02,99.746788,1972.29
47,28,51,54,67,43,22,62,54,51,40,47,61,30,28,53,56,22,51,41,54,60,33,43,49,39,46,66,65,48,44,45,70,61,43,43,64,41,63,67,54,53,28,53,52,44,67,57,01oct2014,3.79409,14768.285,86.900002,.02,100.0317,2018.05
44,25,47,52,62,45,21,54,64,57,45,47,62,30,28,48,54,20,47,38,50,57,37,39,50,38,44,64,60,44,40,53,69,59,46,40,67,39,61,65,55,50,25,50,48,41,58,55,01nov2014,3.6346099,14836.107,88.800003,.02,100.3812,2067.5601
42,26,47,48,63,43,18,53,69,59,57,49,68,30,28,48,56,26,45,38,50,64,40,39,48,41,47,69,61,45,40,54,69,53,45,39,68,38,64,69,65,50,25,50,50,38,58,56,01dec2014,3.8501401,14929.612,93.599998,.029999999,100.7687,2058.8999
44,28,49,48,64,43,20,57,50,52,44,44,67,40,25,48,49,24,41,38,51,57,34,42,45,44,46,55,56,46,44,45,65,44,48,47,62,39,61,72,48,53,29,52,50,39,59,54,01jan2015,4.4538798,15049.764,98.099998,.029999999,101.0298,1994.99
45,30,49,51,67,44,21,56,52,48,46,46,61,62,26,48,49,19,44,40,53,58,33,46,49,45,47,58,56,46,44,43,90,47,44,47,62,39,60,72,52,49,34,52,51,43,61,58,01feb2015,4.1800098,15101.981,95.400002,.02,101.0321,2104.5
42,29,49,51,66,41,19,55,49,48,40,43,61,30,25,47,47,19,44,38,48,58,31,42,47,44,43,55,54,47,43,42,80,49,39,47,58,38,56,68,54,50,29,46,47,41,61,54,01mar2015,4.1318898,15082.389,93,.029999999,100.9367,2067.8899
44,29,50,51,64,37,21,56,48,50,38,42,61,28,25,48,46,17,56,37,51,57,31,41,49,44,42,52,54,46,43,41,75,42,38,48,57,37,56,66,62,55,30,44,49,43,60,54,01apr2015,4.05439,15163.008,95.900002,.02,100.8826,2085.51
42,29,48,50,63,35,19,52,45,50,35,41,59,26,22,43,43,17,47,36,45,54,29,37,49,33,40,49,50,45,41,39,70,41,38,45,55,33,54,63,57,51,28,39,44,39,58,53,01may2015,4.1731601,15216.371,90.699997,.02,100.8032,2107.3899
45,31,48,52,65,36,19,52,43,52,39,43,60,25,23,43,44,18,48,35,54,55,32,43,48,34,40,48,49,46,41,40,63,37,37,48,56,32,53,65,50,51,29,43,45,38,60,54,01jun2015,3.8168199,15247.398,96.099998,.02,100.8171,2063.1101
45,33,48,53,66,39,18,52,44,55,38,43,60,27,22,45,42,18,49,36,53,56,30,42,51,34,41,49,47,47,42,44,61,40,37,50,59,31,54,66,49,52,28,44,46,37,58,59,01jul2015,3.88817,15281.247,93.099998,.029999999,100.7038,2103.8401
44,31,47,51,65,39,19,51,50,53,36,45,58,28,23,44,42,22,50,37,51,54,30,44,49,36,43,51,48,48,41,42,60,43,40,47,57,31,55,63,53,51,28,43,45,38,58,56,01aug2015,3.4537599,15325.493,91.900002,.07,100.5166,1972.1801
40,27,46,48,60,39,21,52,47,51,33,41,59,29,24,46,43,18,43,33,49,53,29,39,44,33,40,51,51,44,37,40,59,48,40,42,55,31,51,62,53,52,25,42,46,41,59,52,01sep2015,3.50723,15351.868,87.199997,.02,100.3479,1920.03
40,27,47,47,59,38,22,54,53,48,33,41,58,26,24,46,41,16,56,32,49,57,29,38,44,35,40,59,49,43,35,40,62,57,40,40,58,31,58,61,51,48,23,46,47,41,61,52,01oct2015,3.1087999,15369.145,90,.02,100.3768,2079.3601
43,24,44,49,58,42,20,51,60,53,43,40,65,25,23,44,43,18,42,31,48,58,33,36,48,35,37,57,48,41,34,50,64,53,43,36,63,32,56,60,52,49,24,47,44,38,55,50,01nov2015,2.9929199,15340.379,91.300003,.12,100.4919,2080.4099
38,24,44,45,63,41,17,51,66,56,51,41,65,27,24,44,45,23,43,32,47,66,34,37,47,37,41,65,51,41,33,49,63,50,43,38,66,32,69,67,60,48,24,46,46,37,54,55,01dec2015,2.94715,15383.523,92.599998,.23,100.5878,2043.9399
50,36,56,64,84,55,24,65,68,68,49,50,80,51,27,58,47,24,48,44,59,76,39,49,59,46,50,66,53,56,43,57,73,62,59,61,78,34,76,85,68,63,33,56,53,48,72,77,01jan2016,2.6243701,15404.046,92,.25999999,100.6007,1940.24
53,38,59,64,87,55,25,70,71,64,42,52,75,75,27,60,47,21,53,48,63,75,36,55,60,47,52,69,54,60,48,55,81,67,55,63,77,35,68,89,71,62,38,54,57,52,76,80,01feb2016,3.1004901,15415.085,91.699997,.31,100.5639,1932.23
54,41,58,66,89,52,25,70,69,67,42,53,78,37,27,58,49,20,51,46,59,78,36,51,62,48,51,68,56,61,46,52,89,70,52,64,80,35,65,88,78,64,40,52,57,52,77,82,01mar2016,2.5060699,15434.894,91,.28999999,100.5245,2059.74
55,39,60,70,94,53,26,69,67,67,46,53,82,34,27,59,47,20,69,44,60,81,36,51,66,48,53,69,55,61,45,54,95,64,53,65,77,34,64,88,83,69,37,49,57,55,78,84,01apr2016,2.72892,15415.333,89,.23,100.5463,2065.3
56,39,59,67,88,52,22,65,64,75,46,53,80,34,26,55,46,20,64,43,57,81,36,53,68,38,52,67,53,59,42,55,88,61,53,65,80,34,65,89,79,69,38,46,53,50,73,84,01may2016,2.60145,15405.827,94.699997,.27000001,100.6672,2096.95
56,43,59,71,88,51,23,65,62,74,50,51,81,33,26,55,46,21,67,45,64,77,36,54,66,41,53,64,54,59,45,53,84,60,49,67,79,35,64,87,73,68,41,48,54,47,75,86,01jun2016,2.9124801,15407.904,93.5,.27000001,100.6454,2098.8601
59,47,60,73,93,55,23,66,65,81,46,56,84,37,26,56,52,23,65,46,74,80,37,56,68,39,55,67,56,63,48,56,86,64,52,70,86,36,69,91,72,71,42,47,55,46,75,95,01jul2016,2.65167,15454.576,90,.30000001,100.5005,2173.6001
59,42,58,71,91,56,23,69,69,77,43,54,81,37,26,60,52,28,57,47,68,79,35,58,68,41,54,68,58,64,47,57,82,72,54,67,80,37,65,89,73,67,38,52,55,50,82,87,01aug2016,2.59129,15465.277,89.800003,.30000001,100.3958,2170.95
54,39,61,67,86,55,24,70,69,74,44,56,83,37,28,60,64,23,59,43,64,77,34,55,64,41,59,72,62,62,44,56,85,78,57,59,81,35,64,84,76,68,34,50,58,54,81,83,01sep2016,2.83394,15509.469,91.199997,.28999999,100.3769,2168.27
56,39,59,66,85,54,22,68,73,71,45,54,82,32,28,59,51,20,68,41,72,82,34,52,63,42,54,83,56,59,42,55,86,87,56,57,82,35,69,84,75,66,33,53,54,53,75,82,01oct2016,2.7254601,15537.585,87.199997,.33000001,100.4529,2126.1499
52,34,57,68,80,60,24,65,83,79,56,54,87,34,28,59,51,20,52,41,58,83,36,48,66,40,52,80,54,56,43,68,85,90,60,53,86,36,65,80,75,68,30,57,54,49,71,80,01nov2016,2.76139,15576.214,93.800003,.44999999,100.7781,2198.8101
53,34,59,67,85,57,22,65,100,86,61,56,98,35,29,57,54,28,52,41,61,98,41,51,66,45,56,91,58,58,44,69,85,84,64,53,96,33,76,90,86,68,30,54,57,47,71,88,01dec2016,2.81305,15610.328,98.199997,.50999999,101.1115,2238.8301
57,39,63,68,84,58,29,71,69,74,48,53,87,50,28,64,50,25,48,45,70,84,36,56,66,50,54,69,56,58,47,60,82,65,64,62,85,37,70,92,69,71,32,60,58,49,80,84,01jan2017,2.8340299,15663.029,98.5,.50999999,101.2579,2278.8701
54,39,65,67,88,59,27,73,70,73,48,55,81,76,28,62,49,20,54,46,65,86,35,56,64,51,52,70,54,61,45,56,86,64,60,62,85,36,67,91,71,67,34,54,58,54,81,89,01feb2017,2.0330999,15734.509,96.300003,.51999998,101.2457,2363.6399
59,43,63,73,89,58,25,71,71,72,47,57,86,38,29,60,50,20,63,46,79,86,37,58,67,52,55,69,54,65,45,57,93,72,58,66,84,35,70,92,76,66,35,54,61,57,81,90,01mar2017,2.9594901,15806.397,96.900002,.74000001,101.2155,2362.72
57,41,62,74,90,55,25,72,72,81,43,59,100,34,28,59,48,20,72,44,69,86,33,55,71,51,54,71,54,62,44,59,100,72,57,66,90,33,65,92,88,77,34,48,57,56,79,91,01apr2017,2.5808799,15776.153,97,.80000001,101.1764,2384.2
59,42,63,74,92,55,26,71,67,80,41,59,89,35,27,59,49,21,63,44,66,83,32,58,75,42,54,71,53,61,45,61,97,66,58,66,86,34,67,92,84,76,34,51,57,56,80,92,01may2017,2.53304,15834.178,97.099998,.88999999,101.1061,2411.8
61,47,65,79,94,54,28,68,66,89,45,61,90,35,27,59,50,21,66,46,71,85,33,61,74,41,59,67,53,64,46,60,92,65,59,69,88,34,63,93,74,74,38,51,58,52,81,97,01jun2017,2.2973299,15832.181,95,.98000002,101.0015,2423.4099
63,47,63,81,100,57,25,70,67,93,46,63,88,37,25,57,49,22,63,46,75,88,33,60,75,42,58,68,51,64,45,61,87,69,58,71,94,33,66,95,71,79,36,50,56,51,79,100,01jul2017,2.41026,15885.911,93.400002,1.0700001,100.961,2470.3
59,44,63,75,95,58,26,71,73,91,45,61,86,36,28,61,49,26,62,46,71,83,33,60,68,44,59,72,55,65,44,60,86,75,59,67,86,35,64,90,75,72,36,53,60,50,85,94,01aug2017,2.29229,15918.081,96.800003,1.01,101.0563,2471.6499
64,40,77,76,89,56,23,70,70,86,42,60,86,39,28,62,59,22,59,45,100,83,33,60,69,42,81,72,58,63,43,60,86,80,59,61,86,33,62,86,78,75,33,51,58,53,80,89,01sep2017,2.3885601,15941.89,95.099998,1.03,101.1756,2519.3601
57,52,63,73,86,58,25,72,73,78,42,59,82,43,29,62,52,20,75,44,71,85,33,58,69,47,55,82,55,60,41,58,90,97,63,59,86,35,65,86,81,71,31,57,60,55,83,88,01oct2017,2.58024,15978.509,100.7,1.0700001,101.3234,2575.26
54,33,57,73,85,64,23,69,90,83,57,58,85,41,29,58,55,20,51,41,61,88,36,53,72,47,53,83,54,55,41,73,86,97,67,54,88,32,63,86,81,69,30,59,58,53,79,82,01nov2017,2.84079,15997.387,98.5,1.23,101.3036,2584.8401
50,34,58,71,89,59,21,67,97,96,62,60,95,37,28,56,55,25,50,41,63,100,38,50,69,48,55,90,54,59,40,68,83,93,68,53,100,33,74,90,87,70,29,53,59,49,74,92,01dec2017,2.66836,16033.336,95.900002,1.3200001,101.222,2673.6101
52,36,62,70,87,60,25,74,68,82,44,55,89,61,28,62,46,23,53,43,66,82,35,56,64,56,56,69,51,56,43,63,77,68,66,60,89,32,65,92,67,76,30,57,61,50,85,86,01jan2018,2.5093501,16067.685,95.699997,1.41,101.251,2823.8101
53,37,60,71,90,57,24,75,68,77,43,57,85,38,27,61,45,20,58,46,62,85,32,57,65,52,52,70,51,61,44,59,82,70,60,65,89,32,63,92,71,68,31,55,62,55,84,91,01feb2018,2.3961101,16099.22,99.699997,1.5700001,101.4086,2713.8301
54,39,63,72,91,57,24,73,72,79,40,57,85,50,26,58,45,19,62,44,85,83,33,55,66,50,54,69,50,59,43,57,86,79,59,63,88,31,61,91,78,67,32,50,59,51,79,91,01mar2018,2.2215099,16154.764,101.4,1.7,101.5066,2640.8701
55,40,62,76,91,55,25,74,70,82,40,62,89,35,27,60,43,18,63,44,64,87,31,54,73,51,55,69,49,62,43,56,92,67,58,65,83,31,62,91,88,76,33,50,60,53,83,92,01apr2018,2.4567101,16144.705,98.800003,1.76,101.4576,2648.05
54,39,65,78,90,54,24,71,66,82,41,60,88,35,26,57,43,19,62,43,69,84,31,56,76,41,58,70,47,62,41,58,99,66,57,63,85,31,62,89,84,80,34,49,58,55,79,92,01may2018,2.6118801,16155.012,98,1.86,101.3743,2705.27
56,42,62,78,91,53,24,70,63,85,43,60,86,35,25,56,42,20,61,43,67,83,33,56,77,41,58,68,45,59,42,59,87,63,55,65,88,29,62,89,77,75,33,48,57,51,80,96,01jun2018,2.7497499,16195.352,98.199997,1.9,101.3166,2718.3701
56,44,64,80,89,55,24,69,64,97,41,62,90,34,23,56,44,20,60,44,74,82,31,55,76,42,57,65,45,63,41,62,83,70,56,67,93,30,63,88,71,78,34,49,55,49,82,99,01jul2018,2.9620199,16228.384,97.900002,1.96,101.282,2816.29
56,40,62,73,93,56,23,70,69,87,39,60,89,36,25,59,44,23,59,44,70,80,31,57,69,44,59,68,47,62,41,60,77,76,56,63,85,31,56,85,77,71,32,52,56,50,82,94,01aug2018,3.1485901,16277.424,96.199997,2.03,101.2865,2901.52
50,38,60,69,83,54,22,70,67,83,38,58,83,38,26,58,46,20,57,40,68,77,30,51,66,41,54,68,49,58,37,57,78,82,57,56,82,32,60,80,74,71,29,48,55,51,76,86,01sep2018,2.67255,16292.562,100.1,2.1300001,101.3644,2913.98
50,35,62,69,82,53,25,70,66,80,38,58,82,33,25,61,43,17,66,39,72,78,30,50,65,44,54,75,47,56,38,57,76,91,57,55,85,29,61,78,71,66,28,57,56,53,79,84,01oct2018,2.9891901,16341.822,98.599998,2.25,101.3662,2711.74
49,32,59,72,80,61,43,68,89,88,50,57,91,32,27,58,45,19,48,40,66,86,33,49,70,43,53,82,47,55,37,75,80,100,63,51,92,29,61,80,79,71,25,56,55,49,75,86,01nov2018,2.8464301,16369.553,97.5,2.3299999,101.3337,2760.1699
